,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin,Fabriction,Fabrocation,Materia,Platform,Volume,Suitable,Includes,Wedge,Sport,Sneaker,Base,Footwear,Ingredients,Formal,Toe,Size,Qty,Care
487,Expressive wmns sneaker - white,Onitsuka Tiger,White,Code 1182a088-102,Leather Upper,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1961344/original.jpg,women,"UK 3.5, UK 4, UK 6, UK 8, UK 5, UK 7, ",,,,,,,,,,,,,,,,,,,,
488,Literide pacer k -  pink,Crocs,Pink,,PU,R486,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1950901/original.jpg,kids,"UK 1, UK 2, UK 3, UK 4, Kids 10, Kids 11, Kids 12, Kids 13, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
489,Mexico 66 - midnight,Onitsuka Tiger,Midnight,Code 1182A210-400,Recycled Leather Upper with Rubber Sole,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1949984/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 10, UK 11, UK 3, UK 4, UK 9, ",,,,,,,,,,,,,,,,,,,,
490,Mexico 66 - beet juice,Onitsuka Tiger,Beet Juice,Code 1182A210-600,Recycled Leather Upper with Rubber Sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1950006/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 3, ",,,,,,,,,,,,,,,,,,,,
491,UltraBOOST 20 - core black/copper met./signal pink,adidas Performance,Core black/copper met./signal pink,Code FV8340,,R2249,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1946200/original.jpg,women,"UK 7.5, UK 3.5, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
492,Chuck Taylor All Star move platform hi - white / natural ivory / black,Converse,White / natural ivory / black,Code 568498C,Canvas Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1943759/original.jpg,women,"UK 4, UK 7, UK 8, UK 3, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
493,Run star hike ox - white / black / gum,Converse,"White, Black & Gum",Code 168817C,Canvas Upper with Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1943316/original.jpg,women,"UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
494,Cali sport top warm up wn’s - puma white,PUMA,Puma White,Code 37343601,Leather Upper with Rubber Sole,R1234,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1949053/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 3, UK 8, ",,,,,,,,,,,,,,,,,,,,
495,Classic Leather x Wonder Woman,Reebok,"Coal, Night black & Stucco",Code q46337,Canvas Upper with Leather Overlays & Rubber Sole,R1119,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1940475/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
496,Club C 85 x Wonder Woman,Reebok,Pantone,Code fw6180,Leather Upper with Rubber sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1940441/original.jpg,women,"UK 3, UK 4, UK 5, UK 8, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
497,Chuck taylor all star ox - lotus pink/gold/white,Converse,Lotus pink/gold/white,Code 568661C,Leather Upper with Rubber sole,R616,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1939388/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
498,Freestyle Hi X Wonder Woman,Reebok,Gold Met & Excellent Red,Code fw4667,Leather Upper with Rubber sole,R1259,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1940435/original.jpg,women,"UK 3, UK 4, UK 6, UK 8, UK 5, UK 7, ",,,,,,,,,,,,,,,,,,,,
499,Court double mix - chalk/alabaster/proud pink,Reebok,"Chalk, Alabaster & Proud Pink",Code Fv2074,Leather Upper with Rubber sole,R839,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1940339/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
500,Court double mix - true grey 8/black/proud pink,Reebok,"True Grey ,Black & Proud pink",Code fv8663,Leather Upper with Rubber sole,R839,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1940371/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
501,Retroset w - scarlet/ftwr white/core black,adidas Originals,"Scarlet, Ftwr White & Core Black",Code fw4785,Mesh Upper with Rubber sole,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1941666/original.jpg,women,"UK 4, UK 5, UK 7, UK 3.5, UK 6, UK 8, ",,,,,,,,,,,,,,,,,,,,
502,Pulsar wedge tech glam - black-silver,PUMA Select,Puma black-puma silver,Code 37393902,Mesh Upper with Leather Overlays & Rubber Sole,R1234,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1937015/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
503,Kyron wild beasts wn's - puma black-dark shadow,PUMA Select,Puma black-dark shadow,Code 37304101,Mesh Upper with Rubber Sole,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1936157/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
504,Zig kinetica - horizon blue/high vis orange/proud pink,Reebok,Horizon blue/high vis orange/proud pink,Code FW6155,Mesh Upper with Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1936171/original.jpg,women,"UK 5, UK 6, UK 3, UK 4, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
505,Zig Kinetica Horizon - carotene / high vis orange / utility beige,Reebok,Carotene/high vis orange/utility beige,Code fw6270,leather,R1259,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1916662/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
506,Zig Kinetica Horizon - alabaster/utility beige/carotene,Reebok,Alabaster/utility beige/carotene,Code FW6269,Textile Upper,R1169,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1916632/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 8, UK 4, ",,,,,,,,,,,,,,,,,,,,
507,Kyron wild beasts - aqua grey-puma white,PUMA Select,Aqua grey-puma white,Code 37304103,Mesh upper with suede overlays,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1930936/original.jpg,women,"UK 3, UK 6, UK 7, UK 8, UK 4, UK 5, ",,,,,,,,,,,,,,,,,,,,
508,Kalis vulc - black & leopard,DC,Black & leopard,Code ADJS300252-LEO,Suede Upper with Leather overlays & Rubber sole,R519,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1933759/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
509,Ua Vans sport - (soft leather) nirvana & snow white,Vans,Nirvana & Snow White,Code VN0A4BU627Z1,Leather Upper with Gum Sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1927025/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
510,Ua Vans sport - (soft leather) white & snow white,Vans,White & Snow White,Code VN0A4BU628A1,Leather Upper with Gum Sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1927012/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
511,CTAS Dainty ox - desert peach & particle beige,Converse,Desert Peach & Particle Beige,Code 563477C,,R599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1926893/original.jpg,women,"UK 3, UK 5, UK 4, UK 6, UK 7, UK 8, ",,,,,Faux Leather with Rubber sole,,,,,,,,,,,,,,,
512,Sleek w - shock purple/hi-res yellow/signal pink,adidas Originals,Shock Purple/Hi-Res Yellow/Signal Pink,Code FW2485,TPU Upper with Rubber Sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1926189/original.jpg,women,"UK 3, UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
513,Nova wn's sneaker - puma black & rose gold,PUMA,Puma Black & Rose Gold,Code 37081505,Leather Upper with Rubber Sole,R839,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1919483/original.jpg,women,"UK 4, UK 5, UK 6, UK 3, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
514,Super Comfycush Era - (mixed media) antique white/multi,Vans,Mixed Media Antique White & Multi,Code VN0A4U1D26A1,Canvas Upper with Waffle Sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1919733/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,Height 4cm,,,,,,,,,,,,,,
515,2341 alpina marble boot - white-red-rose lobs,SUPERGA,White-red-rose lobs,Code s111t1w-a6,Canvas Upper with Rubber sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1919041/original.jpg,women,"UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
516,Nizza platform - supplier colour / ftwr white,adidas Originals,"Supplier Colour, Ftwr White & Ftwr White",Code fv5455,Textile Upper with Rubber sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1917398/original.jpg,women,"UK 4, UK 5, UK 7, UK 3, UK 3.5, UK 6, UK 8, ",,,,,,,,,,,,,,,,,,,,
517,Falcon - bliss purple / shock purple / haze coral,adidas Originals,"Bliss Purple, Shock Purple & Haze coral",Code fw2486,Mesh Upper with Rubber sole,R1234,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1917374/original.jpg,women,"UK 3.5, UK 4, UK 8, UK 3, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
518,UltraBOOST 20 - legacy blue / silver met. / signal pink,adidas Performance,Legacy blue/silver met./signal pink,Code FV347,Primeknit textile upper with Rubber Sole,R2249,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1875833/original.jpg,women,"UK 7.5, UK 3.5, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
519,Day Jogger- trace pink / cloud white/ semi flash red,adidas Originals,Pink,,"Trace Pink, Cloud White, Semi Flash Red",R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1914538/original.jpg,women,"UK 3, UK 4, UK 6, UK 7, UK 5, UK 8, ",,,,,,,,,,,,,,,,,,,,
520,Club C stacked - white / reebok rubber gum,Reebok,White / White / Reebok Rubber Gum-06,Code Q46334,,R1039,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1906636/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, ",,,,,,,,,,,,,,,,,,,,
521,Authentic - (prism suede) metallic/blanc de blanc,Vans,Metallic/Blanc de Blanc,Code VN0A2Z5I19C1,Textile Upper with Waffle Sole,R649,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1916437/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
522,Ultrarange Rapidweld - rose dawn/true white,Vans,Rose Dawn & True White,Code vn0a3mvu1ul1,Textile Upper with Suede Overlays & Rubber Sole,R844,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1914830/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, ",,,,,,,,,,,,,,,,,,,,
523,"Chuck Taylor All Star ox - plum chalk, light gold & white",Converse,"Plum Chalk, Light Gold & White",Code 564352C,Canvas Upper with Rubber Sole,R569,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1904949/original.jpg,women,"UK 3, UK 5, UK 6, UK 4, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
524,Chuck Taylor All Star - arctic pink & white,Converse,Arctic Pink & White,Code 558004C,Textile Upper with Rubber Sole,R629,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1904943/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
525,Chuck Taylor All Star Ballet Lace - washed coral / turf orange,Converse,Washed Coral & Turf Orange,Code 564313C,Canvas Upper with Rubber sole,R479,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1901350/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
526,Superstar plateau - black / white,adidas Originals,"Core Black, Ftwr White & Gold Met",Code FV3335,Leather Upper with Rubber sole,R1044,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1901309/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
527,Chuck Taylor All Star Dainty - light surplus / field surplus,Converse,Light Surplus & Field Surplus,Code 564307C,Canvas Upper with Rubber Sole,R539,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1901333/original.jpg,women,"UK 3, UK 4, UK 7, UK 5, UK 6, UK 8, ",,,,,,,,,,,,,,,,,,,,
528,Chuck Taylor All Star Dainty - washed indigo/ indigo fog,Converse,Washed Indigo & Indigo Fog,Code 564308C,Canvas Upper with Rubber Sole,R539,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1901337/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
529,Ua ultrarange exo - (pop) rose dawn/true white,Vans,Pop Rose Dawn & True white,Code VN0A4U1K26S1,Mesh Upper with Rubber sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1892979/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
530,Sk8-hi - (tiger patchwork) black/true white,Vans,Tiger Patchwork Black & True White,Code VN0A4BV61IO1,Synthetic Upper with Waffle Sole,R649,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1892989/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,,,,
531,Blazer mid vintage '77 - White/Sail/Platinum Tint/White,Nike,Violet & Sail,Code cw7583-100,Leather Upper with Rubber sole,R1119,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1865524/original.jpg,women,"UK 5.5, UK 6, UK 6.5, UK 7, ",,,,,,,,,,,,,,,,,,,,
532,Chuck Taylor All Star - white,Converse,White,Code 558009C,Leather Upper with Rubber Sole,R719,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1883878/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
533,Chuck Taylor All Star - violet & black,Converse,Violet & Black,Code 557949C,Leather Upper with Rubber Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1883739/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 8, UK 7, ",,,,,,,,,,,,,,,,,,,,
534,Chuck Taylor All Star - ox - molasses & black,Converse,Molasses & Black,Code 558008C,Leather Upper with Rubber Sole,R719,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1883773/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
535,Club C 85 - chalk/black/court green,Reebok,Chalk/Black/Court Green,Code FW1266,Suede Upper with Rubber Sole,R844,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1877094/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 8, UK 4, ",,,,,,,,,,,,,,,,,,,,
536,Club C Stacked - chalk / pure grey / gum,Reebok,Chalk/Pure Grey 3/Reebok Rubber Gum-06,Code FW6251,Leather Upper with Rubber Sole,R1039,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1877123/original.jpg,women,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
537,Evzn - merlot/black/proud pink,Reebok,Merlot/Black/Proud Pink,Code FV8677,Synthetic Leather & Mesh Upper with Rubber Sole,R1119,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1877071/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
538,NSW React Vison essential - black / white-black,Nike,Bllack/white-black,Code cw0730-001,Textile Upper with Rubber sole,R1469,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1876968/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
539,Court Vintage premium - white / black-total orange,Nike,White/Black-Total Orange,Code CW1067-100,Leather Upper with Rubber Sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1876335/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
540,Ua bold ni - carmine rose/classic white,Vans,Carmine rose/Classic white,Code va3wlpvli,Suede Upper with Waffle Sole,R714,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1875797/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
541,Super ComfyCush Era - (canvas)black/true white,Vans,Black/true white,Code VN0A4U1D1WX1,Canvas Upper with Rubber sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1865165/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,Height 4cm,,,,,,,,,,,,,,
542,Val sneakers - puma black,PUMA,Puma Black,Code 37223902,Leather Upper & Rubber Sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1864728/original.jpg,women,"UK 5, UK 3, UK 4, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
543,Lqdcell hydra wn s puma - black & ignite pink,PUMA,Black & Ignite Pink,Code 19308301,"Mesh, Suede & Synthetic Upper with Rubber Sole",R1234,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1864760/original.jpg,women,"UK 3, UK 3.5, UK 7, UK 7.5, UK 8, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, ",,,,,,,,,,,,,,,,,,,,
544,Super ComfyCush Slip-On - (big classics checker) black/off white check,Vans,Black/off white check,Code vn0a4u1fxt41,Canvas Upper with Rubber sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1865203/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
545,Cl lthr - chalk/vector red/vector blue,Reebok,"Chalk, Vector Red & Vector Blue",Code fv1081,Leather Upper with Rubber sole,R844,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1859077/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
546,Chuck Taylor All Star espadrille - black/white/natural,Converse,Black/White/Natural,Code 567685C,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1859882/original.jpg,women,"UK 7, UK 8, UK 3, UK 4, UK 5, UK 6, ",,,,,,,,,,,,,,,,,,,,
547,Chuck 70 - white/egret/mouse,Converse,White/Egret/Mouse,Code 167669C,Canvas Upper with Rubber Sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1858731/original.jpg,women,"UK 9, UK 10, UK 11, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
548,Chuck 70 hi - black/almost black/egret,Converse,Black/almost black/egret,Code 167668c,Canvas Upper with Rubber Sole,R779,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1858294/original.jpg,women,"UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
549,Chuck Taylor All Star espadrille - white/black/natural,Converse,White/Black/Natural,Code 567686c,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1858649/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
550,GelSaga - midnight & white,ASICS,Midnight & White,Code 1192A184 - 400,Mesh Upper with Suede Overlays & Rubber Sole,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1855212/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
551,Era (multi python) - rasta/true white,Vans,Rasta & True White,Code vn0a4u39wz31,Canvas Upper with Waffle Sole,R486,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1853932/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, ",,,,,,,,,,,,,,,,,,,,
552,Renew Chuck Taylor all star ox - desert ore/natural/black,Converse,Desert ore/Natural/Black,Code 167646C,Canvas Upper with Rubber Soles,R629,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1846817/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,,,,
553,SK8-Hi reissue 138 - (National Geographic) logo,Vans,National Geographic Logo,Code vn0a3tkpxhp1,Canvas Upper with Ruuber sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1848737/original.jpg,men,"UK 3, UK 4, UK 6, UK 7, UK 8, UK 10, UK 11, ",,,,,,,,,,,,,,,,,,,,
554,Bold ni - (plaid) red & true white,Vans,Plaid Red & True White,Code vn0a3wlpv8c1,Synthetic Upper With Ribber sole,R649,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1848750/original.jpg,men,"UK 4, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 5, ",,,,,,,,,,,,,,,,,,,,
555,Feiyue fe lo 1920 classic - black,Feiyue,Black,Code FeLo 1920-blk,Canvas Upper With Rubber Sole,R549,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1849125/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,,,,
556,Feiyue fe lo 1920 classic - white,Feiyue,White,Code FeLo 1920-wht,Canvas Upper With Rubber Sole,R549,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1846351/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,,,,
557,Dmx Thrill - jasmine pink/blue blast/white,Reebok,Jasmine pink/blue blast/white,Code ef7849,Textile Upper with Rubber sole,R1039,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1841160/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
558,Ladies viper fash - pink,SOVIET,Pink,,Faux Leather Upper with Rubber sole,R369,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1841458/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
559,Revolution 5 - black / white-anthracite,Nike,"Black, White-Anthracite",Code BQ3207-002,Textile Upper with Rubber Sole,R849,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1835027/original.jpg,women,"UK 2.5, UK 3, UK 3.5, UK 4, UK 4.5, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
560,Gel-Bnd - lichen green / birch,Asics,Lichen green/birch,Code 1022a186-300,Mesh Upper with Leather Overlays & Rubber Sole,R844,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1829590/original.jpg,women,"UK 4, UK 7, UK 3, UK 5, UK 6, UK 8, ",,,,,,,,,,,,,,,,,,,,
561,850 Classic Running - pink,New Balance,Pink,Code wl850lbf,Textile Upper with Suede Overlays & Rubber Sole,R1234,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1827384/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
562,VLTG mid leather overlay - Black - back to earth,Converse,Black & Univ,Code 566793c,Faux Leather Upper with Rubber sole,R1169,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1814838/original.jpg,women,"UK 5, UK 7, UK 3, UK 4, UK 6, UK 8, ",,,,,,,,,,,,,,,,,,,,
563,Crep protect gift tube,Crep,,,,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1806835/original.jpg,men,,,,,,,,,,,,,,,,,,,,,
564,Crep protect eraser,Crep,,,,R199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1806828/original.jpg,men,,,,,,,,,,,,,,,,,,,,,
565,"Gel-Lyte III OG - ""Shibuya""",Asics,White/black,Code 1192a207-100,Textile upper with rubber sole,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1803739/original.jpg,women,"UK 3.5, UK 4, UK 4.5, UK 3, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 7.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
566,2341 Cotu alpina boot - full black,SUPERGA,Full black,Code s00gxg0-996,Canvas Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1793835/original.jpg,women,"UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 6, UK 6.5, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
567,2341 Cotu alpina boot - white,SUPERGA,White,Code s00gxg0-901,Synthetic,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1793821/original.jpg,women,"UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 6.5, UK 7, UK 8, UK 6, ",,,,,,,,,,,,,,,,,,,,
